Chrom	Start	End	Gene_Symbol	Tau	Expression	Visualization
1	5318	11438	LOC112532827	0.80503	Show	Gbrowse
1	19331	224006	LOC107049475	0.46536	Show	Gbrowse
1	21888	35006	CLC2DL5	0.51185	Show	Gbrowse
1	27900	31383	LOC112532835	0.50230	Show	Gbrowse
1	39074	40999	CLC2DL2	0.33640	Show	Gbrowse
1	45693	58630	CLC2DL4	0.43049	Show	Gbrowse
1	58427	58617	LOC112531646	0.97672	Show	Gbrowse
1	63264	63454	LOC112531610	0.94452	Show	Gbrowse
1	65263	66712	LOC112532873	0.92057	Show	Gbrowse
1	68197	71610	DHRS4	0.44126	Show	Gbrowse
1	71926	90538	CARMIL3	0.54111	Show	Gbrowse
1	90542	104290	RNF212B	0.39691	Show	Gbrowse
1	110546	112997	LOC107049418	0.82438	Show	Gbrowse
1	129741	131623	LOC101749441	0.99528	Show	Gbrowse
1	131723	136215	LOC107049791	0.96608	Show	Gbrowse
1	180107	184292	LOC107055491	0.45977	Show	Gbrowse
1	188246	194362	LOC107053477	0.53385	Show	Gbrowse
1	194192	195863	LOC107049847	0.36607	Show	Gbrowse
1	210013	214696	LOC770705	0.33574	Show	Gbrowse
1	217130	221977	LOC101747821	0.47220	Show	Gbrowse
1	237200	246156	CD69L	0.38655	Show	Gbrowse
1	255920	262158	LOC107055489	0.42608	Show	Gbrowse
1	278661	284009	LOC112532874	0.90933	Show	Gbrowse
1	290461	294546	LOC112532969	0.43210	Show	Gbrowse
1	292351	300657	LOC112532872	0.54086	Show	Gbrowse
1	301435	303113	CLC2DL3	0.37086	Show	Gbrowse
1	309861	317259	LOC430443	0.79160	Show	Gbrowse
1	320424	357579	GOLGB1	0.27357	Show	Gbrowse
1	356719	371026	HCLS1	0.59958	Show	Gbrowse
1	373193	375214	OR9Q1	low_expression	Show	Gbrowse
1	384262	387642	NME6	0.33683	Show	Gbrowse
1	387693	391643	RABL2L	0.34891	Show	Gbrowse
1	392565	395064	ACR	0.95747	Show	Gbrowse
1	395826	401444	ARSA	0.33355	Show	Gbrowse
1	403221	405031	ACRL	0.97635	Show	Gbrowse
1	429321	703272	SHANK3	0.41202	Show	Gbrowse
1	572221	572243	MIR6708	low_expression	Show	Gbrowse
1	572221	572243	MIR6708	low_expression	Show	Gbrowse
1	596832	596854	MIR1604	low_expression	Show	Gbrowse
1	596832	596854	MIR1604	low_expression	Show	Gbrowse
1	686095	690526	LOC112532875	0.75485	Show	Gbrowse
1	708837	709955	LOC112532876	0.95471	Show	Gbrowse
1	713731	718734	LOC107050884	0.67413	Show	Gbrowse
1	729153	733686	LOC112532971	0.66594	Show	Gbrowse
1	737384	740084	LOC112532974	low_expression	Show	Gbrowse
1	740283	743954	LOC112532979	low_expression	Show	Gbrowse
1	746669	746740	TRNAP-AGG	low_expression	Show	Gbrowse
1	752193	752615	OPN1SW	1.00000	Show	Gbrowse
1	754160	764124	FLNC	0.66102	Show	Gbrowse
1	813661	830347	LOC107050717	0.41350	Show	Gbrowse
1	863251	866528	LOC112532987	0.80168	Show	Gbrowse
1	874417	881437	LOC112529922	0.49123	Show	Gbrowse
1	908944	909475	LOC112532885	0.93910	Show	Gbrowse
1	923547	928150	LOC112532889	0.41572	Show	Gbrowse
1	929757	935409	LOC112533143	0.52914	Show	Gbrowse
1	938571	939817	DPF2	0.67607	Show	Gbrowse
1	941260	943909	LOC107049971	0.89758	Show	Gbrowse
1	944136	1023218	LOC107050086	0.36899	Show	Gbrowse
1	1039462	1071435	LOC107050254	0.24834	Show	Gbrowse
1	1077780	1079498	LOC112532890	0.50515	Show	Gbrowse
1	1082829	1083927	PAX4	0.90605	Show	Gbrowse
1	1085616	1087569	LOC112532888	0.79794	Show	Gbrowse
1	1096010	1102805	ARF5	0.40909	Show	Gbrowse
1	1103223	1108108	GCC1	0.31961	Show	Gbrowse
1	1109042	1128307	DENND6B	0.37763	Show	Gbrowse
1	1133703	1202838	PPP6R2	0.28341	Show	Gbrowse
1	1178478	1178499	MIR1651	low_expression	Show	Gbrowse
1	1178478	1178535	MIR1651	low_expression	Show	Gbrowse
1	1201277	1213553	LOC112532882	0.58297	Show	Gbrowse
1	1204667	1215114	LOC112532881	low_expression	Show	Gbrowse
1	1204667	1215114	LOC112532883	low_expression	Show	Gbrowse
1	1215112	1274500	SBF1	0.25401	Show	Gbrowse
1	1276433	1279812	ADM2	0.79363	Show	Gbrowse
1	1280983	1284304	MIOX	0.86508	Show	Gbrowse
1	1284433	1291151	LMF2	0.36080	Show	Gbrowse
1	1291066	1300798	NCAPH2	0.45908	Show	Gbrowse
1	1300790	1302076	SCO2	0.36418	Show	Gbrowse
1	1303539	1314015	IRF5	0.68685	Show	Gbrowse
1	1314153	1333164	TNPO3	0.33590	Show	Gbrowse
1	1334321	1336038	LOC112532892	0.65238	Show	Gbrowse
1	1339489	1348014	SMO	0.36254	Show	Gbrowse
1	1348918	1393269	AHCYL2	0.31981	Show	Gbrowse
1	1393854	1409355	STRIP2	0.68287	Show	Gbrowse
1	1408099	1428751	LOC107053537	0.85943	Show	Gbrowse
1	1414432	1417947	SMKR1	0.73357	Show	Gbrowse
1	1428121	1476140	NRF1	0.41887	Show	Gbrowse
1	1479894	1479916	MIR183	low_expression	Show	Gbrowse
1	1479894	1479916	MIR183	low_expression	Show	Gbrowse
1	1491818	1533752	UBE2H	0.26597	Show	Gbrowse
1	1535010	1543994	ZC3HC1	0.33578	Show	Gbrowse
1	1543108	1543130	MIR6676	low_expression	Show	Gbrowse
1	1543108	1543130	MIR6676	low_expression	Show	Gbrowse
1	1544347	1559738	KLHDC10	0.22841	Show	Gbrowse
1	1553222	1553247	MIR6629	0.93660	Show	Gbrowse
1	1553222	1553247	MIR6629	low_expression	Show	Gbrowse
1	1560139	1566410	LOC100859230	0.87271	Show	Gbrowse
1	1569534	1580871	TMEM209	0.45789	Show	Gbrowse
1	1584894	1594065	CPA2	0.88381	Show	Gbrowse
1	1595645	1599945	CPA5	0.94127	Show	Gbrowse
1	1600829	1604593	CPA1	0.88749	Show	Gbrowse
1	1606086	1614429	CEP41	0.68551	Show	Gbrowse
1	1614538	1619688	MEST	0.43255	Show	Gbrowse
1	1619584	1638596	COPG2	0.22537	Show	Gbrowse
1	1649627	1654207	IL15RA	0.63971	Show	Gbrowse
1	1655499	1679712	FBXO18	0.29626	Show	Gbrowse
1	1679824	1696355	ANKRD16	0.42231	Show	Gbrowse
1	1697438	1712227	GDI2	0.22252	Show	Gbrowse
1	1698333	1745983	FAM208B	0.33796	Show	Gbrowse
1	1722501	1729431	LOC107053421	0.84666	Show	Gbrowse
1	1751591	1763241	ASB13	0.49059	Show	Gbrowse
1	1768773	1769795	CALML3	0.82940	Show	Gbrowse
1	1772738	1824677	NET1	0.30877	Show	Gbrowse
1	1798683	1811869	LOC101748925	0.96361	Show	Gbrowse
1	1833939	1840449	TUBAL3	0.66144	Show	Gbrowse
1	1843248	1848555	LOC416695	0.73426	Show	Gbrowse
1	1845681	1852908	UCN3	0.94661	Show	Gbrowse
1	1862349	1957445	COL7A1L	0.89583	Show	Gbrowse
1	1908545	1908566	MIR205B	low_expression	Show	Gbrowse
1	1908545	1908566	MIR205B	low_expression	Show	Gbrowse
1	1976831	1991466	SLC35B4	0.33081	Show	Gbrowse
1	1997916	2048119	LRGUK	0.82642	Show	Gbrowse
1	2056289	2511948	EXOC4	0.25235	Show	Gbrowse
1	2270982	2275175	LOC101750035	0.82536	Show	Gbrowse
1	2286412	2288734	LOC107055493	0.92093	Show	Gbrowse
1	2291280	2295897	LOC101747803	0.95240	Show	Gbrowse
1	2295934	2304296	LOC107053233	0.92224	Show	Gbrowse
1	2304633	2309281	LOC112532918	0.94471	Show	Gbrowse
1	2314993	2320016	LOC107055494	0.95705	Show	Gbrowse
1	2323092	2326643	LOC100858111	0.93638	Show	Gbrowse
1	2326672	2331959	LOC101749355	0.90346	Show	Gbrowse
1	2368764	2368785	MIR6659	low_expression	Show	Gbrowse
1	2368764	2368785	MIR6659	low_expression	Show	Gbrowse
1	2537860	2542173	LOC107053701	0.98293	Show	Gbrowse
1	2560251	2596030	LOC112532931	1.00000	Show	Gbrowse
1	2596187	2783097	CHCHD3	0.25969	Show	Gbrowse
1	2629099	2636014	LOC101750196	0.82890	Show	Gbrowse
1	2638831	2642350	LOC107054205	0.93913	Show	Gbrowse
1	2642361	2651160	LOC101748467	0.96133	Show	Gbrowse
1	2651890	2657082	LOC107054228	0.92877	Show	Gbrowse
1	2657088	2658674	LOC107054320	0.96632	Show	Gbrowse
1	2847107	2857534	LOC107054192	0.99805	Show	Gbrowse
1	2886368	3242747	PLXNA4	0.63977	Show	Gbrowse
1	3308980	3309000	MIR6621	low_expression	Show	Gbrowse
1	3308980	3309000	MIR6621	low_expression	Show	Gbrowse
1	3420105	3423296	LOC101750753	0.98938	Show	Gbrowse
1	3421576	3423432	LOC107054375	1.00000	Show	Gbrowse
1	3445118	3446521	LOC107054362	0.98395	Show	Gbrowse
1	3447091	3448471	LOC101752068	1.00000	Show	Gbrowse
1	3688000	3728758	PODXL	0.43523	Show	Gbrowse
1	3729871	3836082	MKLN1	0.25028	Show	Gbrowse
1	3836159	3846848	LOC101750931	0.73651	Show	Gbrowse
1	3979539	4026206	LOC107055713	0.72546	Show	Gbrowse
1	4029394	4029418	MIR29B1	low_expression	Show	Gbrowse
1	4029394	4029418	MIR29B1	low_expression	Show	Gbrowse
1	4029394	4029458	MIR29B1	low_expression	Show	Gbrowse
1	4029436	4029458	MIR29B1	low_expression	Show	Gbrowse
1	4030420	4030441	MIR29A	1.00000	Show	Gbrowse
1	4030420	4030441	MIR29A	low_expression	Show	Gbrowse
1	4030420	4030477	MIR29A	low_expression	Show	Gbrowse
1	4030457	4030477	MIR29A	low_expression	Show	Gbrowse
1	4059530	4071656	K123	0.75948	Show	Gbrowse
1	4077855	4094154	IL2RA	0.71095	Show	Gbrowse
1	4088040	4125993	RBM17	0.23341	Show	Gbrowse
1	4125378	4178122	PFKFB3	0.43840	Show	Gbrowse
1	4188096	4209146	LOC112532968	low_expression	Show	Gbrowse
1	4196904	4206963	LOC107053972	1.00000	Show	Gbrowse
1	4258583	4295868	PRKCQ	0.52892	Show	Gbrowse
1	4516708	4633498	SFMBT2	0.52653	Show	Gbrowse
1	4688854	4719043	LOC419112	0.48378	Show	Gbrowse
1	4720808	4767090	ITIH5	0.43551	Show	Gbrowse
1	4774156	4799272	ITIH2	0.83618	Show	Gbrowse
1	4801708	4815788	KIN	0.23858	Show	Gbrowse
1	4815817	4822605	ATP5C1	0.22817	Show	Gbrowse
1	4825154	4938986	TAF3	0.25574	Show	Gbrowse
1	4938185	4965532	LOC107054553	0.87848	Show	Gbrowse
1	4960731	4988464	GATA3	0.61316	Show	Gbrowse
1	5046443	5051579	LOC112532970	0.98726	Show	Gbrowse
1	5208841	5210538	LOC107054641	low_expression	Show	Gbrowse
1	5324880	5376782	LOC107054627	0.94436	Show	Gbrowse
1	5445478	5476094	LOC107054620	0.97992	Show	Gbrowse
1	5745955	5750694	LOC112532972	0.96718	Show	Gbrowse
1	5750759	5765629	LOC107054917	0.97758	Show	Gbrowse
1	5958302	6003501	LOC100859811	0.94750	Show	Gbrowse
1	6229374	6229397	MIR1626	low_expression	Show	Gbrowse
1	6229374	6229435	MIR1626	low_expression	Show	Gbrowse
1	6314414	6510224	CELF2	0.40860	Show	Gbrowse
1	6347558	6347580	MIR1596	low_expression	Show	Gbrowse
1	6347558	6347621	MIR1596	low_expression	Show	Gbrowse
1	6569103	6679516	USP6NL	0.31006	Show	Gbrowse
1	6699316	6704061	ECHDC3	0.33940	Show	Gbrowse
1	6721752	6746565	PROSER2	0.37156	Show	Gbrowse
1	6752363	6807897	UPF2	0.20765	Show	Gbrowse
1	6811010	6828049	DHTKD1	0.44703	Show	Gbrowse
1	6834558	6850143	SEC61A2	0.37793	Show	Gbrowse
1	6850849	6862491	NUDT5	0.52530	Show	Gbrowse
1	6862512	6900078	CDC123	0.30560	Show	Gbrowse
1	6912394	6923832	LOC112532973	0.96737	Show	Gbrowse
1	6924139	7144552	CAMK1D	0.43316	Show	Gbrowse
1	7159393	7201403	CCDC3	0.63766	Show	Gbrowse
1	7227292	7245393	OPTN	0.28270	Show	Gbrowse
1	7248717	7265010	MCM10	0.68064	Show	Gbrowse
1	7268261	7279991	PHYH	0.40245	Show	Gbrowse
1	7287501	7311282	SEPHS1	0.29993	Show	Gbrowse
1	7324436	7372660	BEND7	0.30427	Show	Gbrowse
1	7384162	7401358	PRPF18	0.17227	Show	Gbrowse
1	7403200	7760094	FRMD4A	0.35941	Show	Gbrowse
1	7488094	7488117	MIR1460	low_expression	Show	Gbrowse
1	7488094	7488117	MIR1460	low_expression	Show	Gbrowse
1	7825013	7949297	FAM107B	0.29575	Show	Gbrowse
1	7939309	7942136	LOC112532975	0.99062	Show	Gbrowse
1	7970741	7981599	HSPA14	0.31034	Show	Gbrowse
1	7983063	7992822	SUV39H2	0.32646	Show	Gbrowse
1	7993092	8003663	DCLRE1C	0.41126	Show	Gbrowse
1	8003764	8019427	MEIG1	0.90299	Show	Gbrowse
1	8021261	8028174	TMEM243	0.41638	Show	Gbrowse
1	8028172	8056726	DMTF1	0.21557	Show	Gbrowse
1	8090516	8183607	KIAA1324L	0.58135	Show	Gbrowse
1	8188208	8296971	GRM3	0.82511	Show	Gbrowse
1	8484880	8487648	LOC112532768	low_expression	Show	Gbrowse
1	8841266	8983941	SEMA3D	0.51644	Show	Gbrowse
1	9198373	9213921	LOC112532981	0.97599	Show	Gbrowse
1	9228504	9514365	SEMA3A	0.48261	Show	Gbrowse
1	9659759	9790408	SEMA3E	0.69061	Show	Gbrowse
1	9888098	10217660	PCLO	0.86270	Show	Gbrowse
1	10163747	10171346	LOC107055502	0.93445	Show	Gbrowse
1	10175304	10198414	LOC107055432	0.93241	Show	Gbrowse
1	10375977	10734887	CACNA2D1	0.44959	Show	Gbrowse
1	10664755	10695820	LOC112532984	0.82361	Show	Gbrowse
1	10739408	10748020	LOC112532985	0.90679	Show	Gbrowse
1	10766851	10798585	LOC112532986	0.91560	Show	Gbrowse
1	10796729	10803630	LOC107057089	0.88458	Show	Gbrowse
1	10800574	10863536	HGF	0.64547	Show	Gbrowse
1	11009879	11016787	LOC112532771	0.99151	Show	Gbrowse
1	11192352	11314333	SEMA3C	0.30162	Show	Gbrowse
1	11331789	11391266	CD36	0.57381	Show	Gbrowse
1	11413084	11443325	GNAT3	0.95853	Show	Gbrowse
1	11519970	11555155	GNAI1	0.27914	Show	Gbrowse
1	11833613	12559079	MAGI2	0.63166	Show	Gbrowse
1	12579701	12642458	PHTF2	0.36919	Show	Gbrowse
1	12642799	12647025	TMEM60	0.29360	Show	Gbrowse
1	12649967	12698303	RSBN1L	0.24981	Show	Gbrowse
1	12702791	12705029	LOC107051624	0.82636	Show	Gbrowse
1	12710101	12785173	PTPN12	0.30499	Show	Gbrowse
1	12785931	12792153	LOC112532992	0.99844	Show	Gbrowse
1	12812452	12814878	LOC107051625	0.94186	Show	Gbrowse
1	12815007	12862688	GSAP	0.24087	Show	Gbrowse
1	12862618	12935416	CCDC146	0.85914	Show	Gbrowse
1	12864293	12871428	LOC107051626	0.71585	Show	Gbrowse
1	12915303	12921313	FGL2	0.67266	Show	Gbrowse
1	12935324	12974762	FAM185A	0.37459	Show	Gbrowse
1	12976263	13055113	FBXL13	0.89819	Show	Gbrowse
1	13006977	13025640	LRRC17	0.57982	Show	Gbrowse
1	13055396	13063035	ARMC10	0.44836	Show	Gbrowse
1	13065343	13085319	NAPEPLD	0.33968	Show	Gbrowse
1	13106460	13115402	PMPCB	0.20105	Show	Gbrowse
1	13115336	13135310	DNAJC2	0.31720	Show	Gbrowse
1	13132822	13139845	PSMC2	0.14296	Show	Gbrowse
1	13143551	13176906	SLC26A5	0.36386	Show	Gbrowse
1	13176123	13188296	LOC112533002	0.92709	Show	Gbrowse
1	13184634	13457315	RELN	0.62605	Show	Gbrowse
1	13485999	13554943	ORC5	0.35268	Show	Gbrowse
1	13541016	13541086	TRNAG-CCC	low_expression	Show	Gbrowse
1	13612053	13847772	LHFPL3	0.72328	Show	Gbrowse
1	13860886	13902878	LOC107051628	0.48270	Show	Gbrowse
1	13903030	13955806	KMT2E	0.22553	Show	Gbrowse
1	13957491	14095954	SRPK2	0.33471	Show	Gbrowse
1	13962537	13967844	LOC107051627	0.62004	Show	Gbrowse
1	14095826	14097983	LOC107051629	0.97768	Show	Gbrowse
1	14110246	14114805	LOC101752215	0.54587	Show	Gbrowse
1	14116120	14138108	PUS7	0.26336	Show	Gbrowse
1	14138455	14150312	RINT1	0.33204	Show	Gbrowse
1	14148775	14152060	EFCAB10	0.60936	Show	Gbrowse
1	14152183	14156966	LOC112533020	0.95327	Show	Gbrowse
1	14156906	14267126	ATXN7L1	0.25412	Show	Gbrowse
1	14267067	14367681	CDHR3	0.80130	Show	Gbrowse
1	14331316	14337535	SYPL1	0.83918	Show	Gbrowse
1	14337591	14341012	LOC107051630	0.98348	Show	Gbrowse
1	14363077	14392439	NAMPT	0.38934	Show	Gbrowse
1	14433260	14457676	LOC107051631	1.00000	Show	Gbrowse
1	14503365	14511573	CCDC71L	0.54018	Show	Gbrowse
1	14534126	14571191	PIK3CG	0.29069	Show	Gbrowse
1	14593210	14681921	PRKAR2B	0.53660	Show	Gbrowse
1	14682645	14697937	HBP1	0.24239	Show	Gbrowse
1	14697142	14881099	COG5	0.24353	Show	Gbrowse
1	14842612	14848613	GPR22	0.79716	Show	Gbrowse
